ResID;Chinese_Simplified;Chinese_Traditional;Japanese;Korean;English;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic
m26;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m27;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m28;分钟;分鐘;分;分钟;Minutes;分钟;分钟;;;;;;;;;;;;;;;
m29;目标：;目標：;目標：;目标：;Objectives:;目标：;目标：;;;;;;;;;;;;;;;
m30;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m31;锻炼;鍛煉;鍛える;锻炼;Exercise;锻炼;锻炼;;;;;;;;;;;;;;;
m32;锻炼记录;鍛煉記錄;運動記録;锻炼记录;Exercise record;锻炼记录;锻炼记录;;;;;;;;;;;;;;;
m33;训练状态;訓練狀態;訓練状態;训练状态;Training status;训练状态;训练状态;;;;;;;;;;;;;;;
m34;心率;心率;心拍数;心率;Heart rate;心率;心率;;;;;;;;;;;;;;;
m35;血氧饱和度;血氧飽和度;酸素飽和度;血氧饱和度;Blood oxygen saturation;血氧饱和度;血氧饱和度;;;;;;;;;;;;;;;
m36;活动记录;活動記錄;活動記録;活动记录;Activity record;活动记录;活动记录;;;;;;;;;;;;;;;
m37;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m38;压力;壓力;圧力;压力;Pressure;压力;压力;;;;;;;;;;;;;;;
m39;呼吸训练;呼吸訓練;呼吸訓練;呼吸训练;Breathing training;呼吸训练;呼吸训练;;;;;;;;;;;;;;;
m40;通话记录;通話記錄;通話記録;通话记录;Call log;通话记录;通话记录;;;;;;;;;;;;;;;
m41;常用联系人;常用聯繫人;一般的な連絡先;常用联系人;Common contacts;常用联系人;常用联系人;;;;;;;;;;;;;;;
m42;音乐;音樂;音楽;音乐;Music;音乐;音乐;;;;;;;;;;;;;;;
m43;海拔气压计;海拔氣壓計;高度気圧計;海拔气压计;Altitude barometer;海拔气压计;海拔气压计;;;;;;;;;;;;;;;
m44;指南计;指南計;ガイドメータ;指南计;Guidebook;指南计;指南计;;;;;;;;;;;;;;;
m45;信息;資訊;情報;信息;Information;信息;信息;;;;;;;;;;;;;;;
m46;天气;天氣;天気;天气;Weather;天气;天气;;;;;;;;;;;;;;;
m47;卡包;卡包;カードケース;卡包;Card Pack;卡包;卡包;;;;;;;;;;;;;;;
m48;支付宝;支付寶;支付宝;支付宝;Alipay;支付宝;支付宝;;;;;;;;;;;;;;;
m49;秒表;碼錶;ストップウォッチ;秒表;Stopwatch;秒表;秒表;;;;;;;;;;;;;;;
m50;计时器;計時器;タイマー;计时器;Timer;计时器;计时器;;;;;;;;;;;;;;;
m51;闹钟;鬧鐘;目覚まし時計;闹钟;Alarm clock;闹钟;闹钟;;;;;;;;;;;;;;;
m52;手电筒;手電筒;懐中電灯;手电筒;Flashlight;手电筒;手电筒;;;;;;;;;;;;;;;
m53;找手机;找手機;携帯電話を探す;找手机;Looking for a cell phone;找手机;找手机;;;;;;;;;;;;;;;
m54;设置;設置;設定;设置;Settings;设置;设置;;;;;;;;;;;;;;;
m55;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m56;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m57;分钟;分鐘;分;分钟;Minutes;分钟;分钟;;;;;;;;;;;;;;;
m58;目标：;目標：;目標：;目标：;Objectives:;目标：;目标：;;;;;;;;;;;;;;;
m59;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m60;锻炼;鍛煉;鍛える;锻炼;Exercise;锻炼;锻炼;;;;;;;;;;;;;;;
m61;锻炼记录;鍛煉記錄;運動記録;锻炼记录;Exercise record;锻炼记录;锻炼记录;;;;;;;;;;;;;;;
m62;训练状态;訓練狀態;訓練状態;训练状态;Training status;训练状态;训练状态;;;;;;;;;;;;;;;
m63;心率;心率;心拍数;心率;Heart rate;心率;心率;;;;;;;;;;;;;;;
m64;血氧饱和度;血氧飽和度;酸素飽和度;血氧饱和度;Blood oxygen saturation;血氧饱和度;血氧饱和度;;;;;;;;;;;;;;;
m65;活动记录;活動記錄;活動記録;活动记录;Activity record;活动记录;活动记录;;;;;;;;;;;;;;;
m66;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m67;压力;壓力;圧力;压力;Pressure;压力;压力;;;;;;;;;;;;;;;
m68;呼吸训练;呼吸訓練;呼吸訓練;呼吸训练;Breathing training;呼吸训练;呼吸训练;;;;;;;;;;;;;;;
